framework,capability,model,n,score,threshold,assumed_m,icc,deff,effective_n,ci_low,ci_high,straddles
Anthropic-RSP,bioweapons_knowledge,Opus 4,33,0.5152,0.818,20,0.1,2.9,11.4,0.2602,0.7624,0
Anthropic-RSP,bioweapons_knowledge,Opus 4,33,0.5152,0.818,20,0.2,4.8,6.9,0.2104,0.809,0
Anthropic-RSP,bioweapons_knowledge,Opus 4,33,0.5152,0.818,20,0.3,6.7,4.9,0.1776,0.8394,1
Anthropic-RSP,bioweapons_knowledge,Opus 4,33,0.5152,0.818,20,0.5,10.5,3.1,0.1361,0.8776,1
Anthropic-RSP,bioweapons_knowledge,Opus 4,33,0.5152,0.818,20,1.0,20.0,1.6,0.0864,0.9227,1
Anthropic-RSP,bioweapons_knowledge,Claude 3.7,33,0.5152,0.818,5,0.0,1.0,33.0,0.3522,0.675,0
Anthropic-RSP,bioweapons_knowledge,Claude 3.7,33,0.5152,0.818,5,0.05,1.2,27.5,0.3383,0.6883,0
Anthropic-RSP,bioweapons_knowledge,Claude 3.7,33,0.5152,0.818,5,0.1,1.4,23.6,0.3259,0.7001,0
Anthropic-RSP,bioweapons_knowledge,Claude 3.7,33,0.5152,0.818,5,0.2,1.8,18.3,0.3045,0.7206,0
Anthropic-RSP,bioweapons_knowledge,Claude 3.7,33,0.5152,0.818,5,0.3,2.2,15.0,0.2864,0.7377,0
Anthropic-RSP,bioweapons_knowledge,Claude 3.7,33,0.5152,0.818,5,0.5,3.0,11.0,0.2569,0.7655,0
Anthropic-RSP,bioweapons_knowledge,Claude 3.7,33,0.5152,0.818,5,1.0,5.0,6.6,0.2064,0.8128,0
Anthropic-RSP,bioweapons_knowledge,Claude 3.7,33,0.5152,0.818,10,0.0,1.0,33.0,0.3522,0.675,0
Anthropic-RSP,bioweapons_knowledge,Claude 3.7,33,0.5152,0.818,10,0.05,1.45,22.8,0.323,0.7029,0
Anthropic-RSP,bioweapons_knowledge,Claude 3.7,33,0.5152,0.818,10,0.1,1.9,17.4,0.2997,0.7251,0
Anthropic-RSP,bioweapons_knowledge,Claude 3.7,33,0.5152,0.818,10,0.2,2.8,11.8,0.2636,0.7592,0
Anthropic-RSP,bioweapons_knowledge,Claude 3.7,33,0.5152,0.818,10,0.3,3.7,8.9,0.2363,0.7848,0
Anthropic-RSP,bioweapons_knowledge,Claude 3.7,33,0.5152,0.818,10,0.5,5.5,6.0,0.1969,0.8215,1
Anthropic-RSP,bioweapons_knowledge,Claude 3.7,33,0.5152,0.818,10,1.0,10.0,3.3,0.1404,0.8736,1
Anthropic-RSP,bioweapons_knowledge,Claude 3.7,33,0.5152,0.818,20,0.0,1.0,33.0,0.3522,0.675,0
Anthropic-RSP,bioweapons_knowledge,Claude 3.7,33,0.5152,0.818,20,0.05,1.95,16.9,0.2974,0.7273,0
Anthropic-RSP,bioweapons_knowledge,Claude 3.7,33,0.5152,0.818,20,0.1,2.9,11.4,0.2602,0.7624,0
Anthropic-RSP,bioweapons_knowledge,Claude 3.7,33,0.5152,0.818,20,0.2,4.8,6.9,0.2104,0.809,0
Anthropic-RSP,bioweapons_knowledge,Claude 3.7,33,0.5152,0.818,20,0.3,6.7,4.9,0.1776,0.8394,1
Anthropic-RSP,bioweapons_knowledge,Claude 3.7,33,0.5152,0.818,20,0.5,10.5,3.1,0.1361,0.8776,1
Anthropic-RSP,bioweapons_knowledge,Claude 3.7,33,0.5152,0.818,20,1.0,20.0,1.6,0.0864,0.9227,1
